description,protein_g,fat_g,carbs_g,energy_kcal,sugars_g,fiber_g,sodium_mg,potassium_mg,cholesterol_mg,protein_ratio,fat_ratio,carb_ratio,sugar_ratio,fiber_density,sodium_density,processed_level,health_label
"ORIGINAL MONSTER GLUTEN-FREE MINI COOKIES, ORIGINAL MONSTER",10.0,23.33,53.33,433.0,33.33,3.3,233.0,257.0,50.0,0.023094688221709007,0.05387990762124711,0.12316397228637413,0.6249765610350647,0.06187886742921433,0.5381062355658198,2,Moderate
"Bread, multigrain, toasted",14.7,4.65,47.6,291.0,7.02,8.1,396.0,253.0,0.0,0.050515463917525774,0.01597938144329897,0.16357388316151203,0.14747899159663863,0.17016806722689073,1.3608247422680413,0,Healthy
KETCHUP,147.06,35.29,29.41,941.0,23.53,0.0,941.0,0.0,353.0,0.15628055260361318,0.037502656748140274,0.03125398512221041,0.8000680040802448,0.0,1.0,2,Unhealthy
MINI ASSORTED MACARONS,6.67,16.67,70.0,433.0,60.0,3.3,50.0,167.0,0.0,0.015404157043879908,0.038498845265588916,0.16166281755196305,0.8571428571428571,0.04714285714285714,0.11547344110854503,2,Unhealthy
"WHOLE GRAIN TOASTED WHEAT CEREAL, WHOLE GRAIN",12.5,2.5,80.0,400.0,0.0,12.5,0.0,475.0,0.0,0.03125,0.00625,0.2,0.0,0.15625,0.0,1,Healthy
"BBQ SRIRACHA WILD SALMON MEAL WITH BROCCOLI, BROWN RICE, RED QUINOA, BACON & SWEET AND SPICY BBQ SAUCE",9.41,3.82,17.35,144.0,6.47,1.5,232.0,226.0,26.0,0.06534722222222222,0.026527777777777775,0.12048611111111113,0.37291066282420743,0.08645533141210374,1.6111111111111112,2,Moderate
"PEANUT BUTTER COOKIE BITES CEREAL, PEANUT BUTTER",4.88,12.2,75.61,439.0,39.02,2.4,488.0,122.0,0.0,0.011116173120728929,0.02779043280182232,0.17223234624145786,0.5160693030022484,0.031741833090860996,1.111617312072893,2,Moderate
"CHOCOLATE FLAVORED SUGAR FREE PUDDING SNACK, CHOCOLATE",1.09,3.8,15.22,76.0,0.0,2.2,125.0,152.0,0.0,0.014342105263157896,0.049999999999999996,0.20026315789473684,0.0,0.1445466491458607,1.644736842105263,2,Healthy
DRY ROASTED PEANUTS,21.43,46.43,21.43,571.0,3.57,7.1,304.0,643.0,0.0,0.03753064798598949,0.08131348511383538,0.03753064798598949,0.1665888940737284,0.33131124591693883,0.532399299474606,2,Healthy
"ACAI BERRY POMEGRANATE ORGANIC LOW CALORIE ANTIOXIDANT RICH ENERGY DRINK, ACAI BERRY POMEGRANATE",0.28,0.0,5.35,11.0,1.97,0.0,20.0,18.0,0.0,0.025454545454545455,0.0,0.48636363636363633,0.3682242990654206,0.0,1.8181818181818181,2,Moderate
Larabar Lemon Bar Gluten-Free Snack Bars,8.89,22.22,53.33,444.0,35.56,6.7,11.0,667.0,0.0,0.020022522522522523,0.05004504504504504,0.12011261261261261,0.666791674479655,0.12563285205325334,0.024774774774774775,1,Moderate
ULTRA-PASTEURIZED LACTOSE FREE 2% REDUCED FAT MILK,3.75,2.08,5.0,54.0,5.0,0.0,54.0,175.0,8.0,0.06944444444444445,0.03851851851851852,0.09259259259259259,1.0,0.0,1.0,1,Unhealthy
"WORCESTERSHIRE SAUCE, WORCESTERSHIRE",0.0,0.0,20.0,100.0,20.0,0.0,1300.0,200.0,0.0,0.0,0.0,0.2,1.0,0.0,13.0,2,Unhealthy
"SUPERBERRIES WITH CHIA GRANOLA SMOOTHIE BOWL, SUPERBERRIES WITH CHIA",18.33,11.67,58.33,400.0,21.67,6.7,333.0,467.0,0.0,0.045825,0.029175,0.14582499999999998,0.37150694325390027,0.11486370649751415,0.8325,2,Healthy
WHITE TRUFFLE OIL,0.0,93.33,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1166625,0.0,0.0,0.0,0.0,2,Healthy
"CHOCOLATE CHIP WHOLE GRAIN CRISPY SNACK BARS, CHOCOLATE CHIP",13.89,6.94,63.89,361.0,25.0,5.6,222.0,242.0,28.0,0.03847645429362881,0.01922437673130194,0.17698060941828256,0.39129754265143213,0.0876506495539208,0.6149584487534626,2,Moderate
ORGANIC WHOLE SUGAR FREE ULTRA-FILTERED MILK,3.33,3.33,0.0,46.0,0.0,0.0,42.0,71.0,12.0,0.07239130434782609,0.07239130434782609,0.0,0.0,0.0,0.9130434782608695,1,Healthy
Pillsbury Grands! Cinnamon Rolls with Strawberry and Cream Flavored Icing 5 Count,5.0,10.0,54.0,320.0,22.0,1.0,520.0,230.0,0.0,0.015625,0.03125,0.16875,0.4074074074074074,0.018518518518518517,1.625,2,Moderate
KETCHUP,0.0,0.0,29.41,118.0,23.53,0.0,882.0,312.0,0.0,0.0,0.0,0.24923728813559323,0.8000680040802448,0.0,7.47457627118644,1,Unhealthy
COMPLETE BANANA NUT BREAD,9.13,12.45,9.13,158.0,2.49,3.3,27.0,145.0,10.0,0.057784810126582285,0.07879746835443037,0.057784810126582285,0.2727272727272727,0.36144578313253006,0.17088607594936708,2,Healthy
Chicken Burger FC Gluten Free All Natural* With Grill Marks; Avg49/3.25 oz.,19.0,14.0,2.0,210.0,0.0,0.0,460.0,284.0,100.0,0.09047619047619047,0.06666666666666667,0.009523809523809525,0.0,0.0,2.1904761904761907,2,Moderate
"TOMATO KETCHUP, TOMATO",0.0,0.0,23.53,88.0,17.65,0.0,941.0,0.0,0.0,0.0,0.0,0.26738636363636364,0.7501062473438163,0.0,10.693181818181818,2,Unhealthy
"DISTINCTIVE EUROPEAN COOKIES COLLECTION WITH DELICIOUS DARK, MILK AND WHITE CHOCOLATE",5.45,27.27,63.64,509.0,34.55,1.8,109.0,180.0,9.0,0.010707269155206287,0.05357563850687623,0.1250294695481336,0.5428975487115022,0.028284098051539912,0.21414538310412573,2,Moderate
FULLY COOKED ROTINI READY PASTA,5.83,1.25,34.17,158.0,0.0,4.2,183.0,33.0,0.0,0.03689873417721519,0.007911392405063292,0.21626582278481013,0.0,0.12291483757682177,1.1582278481012658,1,Healthy
FLAMIN' HOT FLAVORED POTATO CHIPS,7.14,35.71,57.14,571.0,3.57,3.6,679.0,1214.0,0.0,0.012504378283712784,0.06253940455341506,0.10007005253940456,0.06247812390619531,0.06300315015750788,1.1891418563922942,2,Healthy
CUT ITALIAN GREEN BEANS,0.84,0.0,3.36,17.0,0.84,1.7,244.0,101.0,0.0,0.04941176470588235,0.0,0.1976470588235294,0.25,0.5059523809523809,14.352941176470589,1,Unhealthy
"CHICKEN SPICY ITALIAN-STYLE SMOKED SAUSAGE, CHICKEN SPICY ITALIAN-STYLE",17.86,12.5,5.36,188.0,1.79,1.8,732.0,259.0,89.0,0.095,0.06648936170212766,0.028510638297872343,0.333955223880597,0.33582089552238803,3.893617021276596,2,Unhealthy
15oz Raisins,1.0,0.0,32.0,120.0,26.0,2.0,10.0,300.0,0.0,0.008333333333333333,0.0,0.26666666666666666,0.8125,0.0625,0.08333333333333333,1,Moderate
PEELED BARTLETT PEAR HALVES IN HEAVY SYRUP,0.0,0.0,17.69,77.0,14.62,1.5,12.0,65.0,0.0,0.0,0.0,0.22974025974025974,0.826455624646693,0.08479366873940078,0.15584415584415584,2,Moderate
"AMERICAN PASTEURIZED PROCESS SLICED CHEESE, AMERICAN",15.79,31.58,5.26,368.0,5.26,0.0,1789.0,0.0,105.0,0.042907608695652175,0.08581521739130435,0.014293478260869564,1.0,0.0,4.861413043478261,2,Unhealthy
TOSTADA RASPADA REDONDA,7.14,21.43,71.43,500.0,0.0,7.1,714.0,143.0,0.0,0.01428,0.04286,0.14286000000000001,0.0,0.09939801203975919,1.428,1,Healthy
"LEMON PROTEIN BAR, LEMON",23.08,15.38,46.15,404.0,34.62,5.8,240.0,538.0,0.0,0.057128712871287124,0.03806930693069307,0.11423267326732672,0.7501625135427952,0.1256771397616468,0.594059405940594,1,Moderate
"HOT! FLAVORED CRISPY CRUNCHY FRIES POTATO SNACKS, HOT!",3.57,17.86,64.29,429.0,0.0,3.6,1393.0,607.0,0.0,0.008321678321678322,0.04163170163170163,0.14986013986013988,0.0,0.05599626691553896,3.247086247086247,2,Moderate
"CINNAMON BROWN SUGAR THICK & FLUFFY BELGIAN STYLE WAFFLES, CINNAMON BROWN SUGAR",3.64,12.73,45.45,309.0,18.18,1.8,455.0,55.0,9.0,0.011779935275080906,0.04119741100323625,0.1470873786407767,0.39999999999999997,0.039603960396039604,1.4724919093851132,2,Moderate
GOLD MEDAL SPARKLING CIDER,0.42,0.0,14.58,58.0,12.92,0.0,0.0,50.0,0.0,0.007241379310344827,0.0,0.2513793103448276,0.8861454046639232,0.0,0.0,1,Unhealthy
"ITALIAN STYLE NO SALT ADDED DICED TOMATOES, ITALIAN STYLE",0.81,0.41,4.07,24.0,2.44,0.8,12.0,187.0,0.0,0.03375,0.017083333333333332,0.16958333333333334,0.5995085995085995,0.19656019656019655,0.5,2,Moderate
"CREAM CHEESE WITH CHIVES & ONIONS, CHIVES & ONIONS",6.67,30.0,6.67,333.0,3.33,0.0,400.0,0.0,100.0,0.02003003003003003,0.09009009009009009,0.02003003003003003,0.4992503748125937,0.0,1.2012012012012012,2,Unhealthy
COUNTRY WHITE BREAD,7.5,2.5,50.0,250.0,7.5,2.5,500.0,100.0,0.0,0.03,0.01,0.2,0.15,0.05,2.0,2,Moderate
DICED YELLOW CLING PEACHES,0.0,0.0,15.93,62.0,15.04,0.9,4.0,27.0,0.0,0.0,0.0,0.25693548387096776,0.9441305712492153,0.05649717514124294,0.06451612903225806,2,Unhealthy
"MACARONI SALAD, MACARONI",7.86,21.43,42.14,393.0,5.0,1.4,457.0,220.0,29.0,0.02,0.05452926208651399,0.1072264631043257,0.11865211200759374,0.03322259136212624,1.1628498727735368,2,Healthy
SKINLESS & BONELESS SARDINES IN SRIRACHA SAUCE,18.33,10.0,1.67,167.0,0.83,0.8,317.0,175.0,47.0,0.10976047904191616,0.059880239520958084,0.01,0.49700598802395207,0.4790419161676647,1.8982035928143712,1,Healthy
"P.F. Chang's Home Menu Mongolian Style BBQ Sauce, 14.2 fl oz",2.86,0.0,31.43,129.0,25.71,0.0,1257.0,0.0,0.0,0.022170542635658912,0.0,0.24364341085271318,0.8180082723512568,0.0,9.744186046511627,2,Unhealthy
"DARK CHOCOLATE ALMONDMILK, DARK CHOCOLATE",0.42,0.83,7.92,42.0,7.08,0.4,92.0,54.0,0.0,0.01,0.019761904761904762,0.18857142857142856,0.8939393939393939,0.05050505050505051,2.1904761904761907,2,Unhealthy
"ARBORIO RICE, ARBORIO",6.67,0.0,77.78,356.0,0.0,0.0,0.0,0.0,0.0,0.018735955056179775,0.0,0.21848314606741573,0.0,0.0,0.0,1,Healthy
"MILK CHOCOLATE PROTEIN-RICH SHAKE, MILK CHOCOLATE",4.62,2.77,2.15,49.0,0.31,1.5,62.0,194.0,5.0,0.09428571428571429,0.05653061224489796,0.04387755102040816,0.14418604651162792,0.6976744186046512,1.2653061224489797,2,Healthy
"SKYR TRADITIONAL ICELANDIC WHOLE MILK YOGURT WITH WILDBERRIES, WILDBERRIES",12.0,6.0,8.0,133.0,4.67,0.0,37.0,147.0,27.0,0.09022556390977443,0.045112781954887216,0.06015037593984962,0.58375,0.0,0.2781954887218045,2,Moderate
"BELGIAN MINI CREAM PUFFS, BELGIAN",5.33,28.0,21.33,360.0,12.0,0.0,93.0,76.0,160.0,0.014805555555555556,0.07777777777777778,0.05925,0.5625879043600563,0.0,0.25833333333333336,2,Moderate
"LEMON FLAVORED KING CAKE, LEMON",3.51,10.53,73.68,404.0,42.11,0.0,263.0,53.0,9.0,0.008688118811881187,0.026064356435643563,0.1823762376237624,0.5715255157437568,0.0,0.650990099009901,2,Moderate
2/3 OZ CAN LOBSTER TAILS,16.96,0.89,0.0,80.0,0.0,0.0,429.0,200.0,125.0,0.21200000000000002,0.011125,0.0,0.0,0.0,5.3625,1,Unhealthy
"THREE CHEESE COMPLETE BISCUIT MIX, THREE CHEESE",8.11,18.92,56.76,432.0,2.7,2.7,1081.0,95.0,0.0,0.018773148148148146,0.0437962962962963,0.1313888888888889,0.04756871035940804,0.04756871035940804,2.502314814814815,2,Moderate
"VEGAN RANCH AVOCADO OIL DRESSING & MARINADE, VEGAN RANCH",0.0,46.67,3.33,433.0,0.0,0.0,733.0,220.0,0.0,0.0,0.10778290993071594,0.007690531177829099,0.0,0.0,1.6928406466512702,2,Moderate
"STRAWBERRY GELATIN DESSERT, STRAWBERRY",4.76,0.0,90.48,381.0,90.48,0.0,381.0,0.0,0.0,0.012493438320209974,0.0,0.23748031496062993,1.0,0.0,1.0,2,Unhealthy
"SMOOTHIE, WILD BERRY",3.38,0.21,13.92,72.0,13.08,0.4,21.0,63.0,2.0,0.04694444444444444,0.0029166666666666664,0.19333333333333333,0.9396551724137931,0.02873563218390805,0.2916666666666667,2,Unhealthy
"CHOCOLATE ICE CREAM WITH SWIRLS OF CHOCOLATE GANACHE SAUCE AND MILK CHOCOLATE SHARDS IN A CRACKING MILK CHOCOLATE SHELL, DOUBLE CHOCOLATE & GANACHE",4.39,21.05,29.82,316.0,25.44,1.8,66.0,307.0,31.0,0.013892405063291138,0.06661392405063292,0.09436708860759493,0.8531187122736419,0.060362173038229376,0.2088607594936709,2,Unhealthy
Mezco Old El Paso Carnitas Flavor Duo,1.76,1.16,14.04,73.0,4.5,1.4,1343.0,138.0,0.0,0.02410958904109589,0.01589041095890411,0.19232876712328767,0.32051282051282054,0.09971509971509972,18.397260273972602,2,Unhealthy
FAT FREE SOUR CREAM,3.33,0.0,10.0,67.0,6.67,0.0,100.0,217.0,0.0,0.04970149253731344,0.0,0.14925373134328357,0.667,0.0,1.492537313432836,2,Unhealthy
PEPPERMINT BARK CHOCOLATE SQUARES,5.71,37.14,57.14,571.0,54.29,2.9,57.0,286.0,14.0,0.01,0.06504378283712785,0.10007005253940456,0.9501225061253062,0.05075253762688134,0.09982486865148861,2,Unhealthy
"PUMPKIN CHAI BARS, PUMPKIN CHAI",25.0,20.0,42.5,450.0,27.5,2.5,400.0,250.0,12.0,0.05555555555555555,0.044444444444444446,0.09444444444444444,0.6470588235294118,0.058823529411764705,0.8888888888888888,2,Moderate
SPECIALTY NO. 40 MACARONI PRODUCT,11.11,1.85,75.93,370.0,3.7,3.7,0.0,222.0,0.0,0.030027027027027024,0.005,0.20521621621621625,0.04872909258527591,0.04872909258527591,0.0,1,Healthy
"QUESO FRESCO MEXICANO FRESH CHEESE, QUESO FRESCO MEXICANO",21.43,25.0,3.57,286.0,0.0,0.0,750.0,0.0,71.0,0.07493006993006993,0.08741258741258741,0.012482517482517481,0.0,0.0,2.6223776223776225,1,Moderate
AUSSIE STYLE YOGURT,6.17,4.41,14.98,123.0,14.54,0.4,46.0,137.0,18.0,0.05016260162601626,0.03585365853658537,0.12178861788617887,0.9706275033377836,0.0267022696929239,0.37398373983739835,2,Unhealthy
"ROASTED PINE NUT HUMMUS, ROASTED PINE NUT",7.14,21.43,14.29,286.0,0.0,3.6,464.0,250.0,0.0,0.024965034965034962,0.07493006993006993,0.04996503496503496,0.0,0.2519244226731981,1.6223776223776223,2,Healthy
Annie's Organic Shiitake Sesame Vinaigrette Dressing,3.45,44.83,3.45,414.0,0.0,0.0,897.0,0.0,0.0,0.008333333333333333,0.10828502415458936,0.008333333333333333,0.0,0.0,2.1666666666666665,2,Moderate
"SIGNATURE KITCHENS, SHARKS SNACKS, ASSORTED FRUIT",0.0,2.17,86.96,391.0,39.13,0.0,43.0,43.0,0.0,0.0,0.0055498721227621485,0.22240409207161124,0.4499770009199633,0.0,0.10997442455242967,2,Moderate
MOZZARELLA CHEESE & SEASONED SAUCE PIZZA BAGELS,10.94,4.69,32.81,219.0,4.69,1.6,422.0,203.0,8.0,0.04995433789954338,0.021415525114155252,0.14981735159817353,0.1429442243218531,0.0487656202377324,1.9269406392694064,2,Moderate
CREAMED SPINACH WITH ASIAGO CHEESE,3.28,6.56,5.74,90.0,1.64,0.0,377.0,218.0,25.0,0.03644444444444444,0.07288888888888888,0.06377777777777778,0.2857142857142857,0.0,4.188888888888889,2,Unhealthy
"CREAM OF CHICKEN CONDENSED SOUP, CREAM OF CHICKEN",1.6,6.4,8.0,96.0,0.8,0.0,696.0,144.0,8.0,0.016666666666666666,0.06666666666666667,0.08333333333333333,0.1,0.0,7.25,2,Unhealthy
"MINT DARK CHOCOLATE CHIP LIGHT ICE CREAM, MINT DARK CHOCOLATE CHIP",7.89,3.29,23.03,118.0,8.55,6.6,125.0,125.0,13.0,0.06686440677966102,0.02788135593220339,0.19516949152542373,0.3712548849326965,0.28658271819366044,1.0593220338983051,2,Healthy
PLM MMRNG BAN BLUE OAT 4PK 12.68OZ,2.22,0.56,17.78,78.0,8.89,2.2,6.0,184.0,0.0,0.028461538461538465,0.00717948717948718,0.22794871794871796,0.5,0.12373453318335208,0.07692307692307693,2,Healthy
WAVY ORIGINAL POTATO CHIPS,7.14,35.71,53.57,571.0,3.57,3.6,500.0,1250.0,0.0,0.012504378283712784,0.06253940455341506,0.09381786339754816,0.06664177711405637,0.06720179204778794,0.8756567425569177,1,Healthy
"SAM'S CHOICE, INSTANT OATMEAL, VANILLA BEAN & HONEY",18.42,3.95,68.42,368.0,31.58,5.3,500.0,276.0,0.0,0.05005434782608696,0.010733695652173914,0.18592391304347827,0.4615609470914937,0.07746273019584916,1.358695652173913,2,Moderate
ORGANIC BEET POWDER,10.0,0.0,60.0,350.0,30.0,20.0,0.0,3200.0,0.0,0.02857142857142857,0.0,0.17142857142857143,0.5,0.3333333333333333,0.0,1,Healthy
"SRIRACHA SPICE THAI RICE CHIPS, SRIRACHA SPICE",6.67,26.67,63.33,533.0,6.67,0.0,867.0,67.0,0.0,0.0125140712945591,0.0500375234521576,0.11881801125703564,0.10532133270172114,0.0,1.6266416510318948,2,Moderate
"TRADITIONAL MEDITERRANEAN EXTRA VIRGIN OLIVE OIL, TRADITIONAL MEDITERRANEAN",0.0,93.33,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1166625,0.0,0.0,0.0,0.0,1,Healthy
"ROASTED PEPPER BRUSCHETTA, ROASTED PEPPER",0.0,20.0,6.67,200.0,3.33,3.3,900.0,0.0,0.0,0.0,0.1,0.03335,0.4992503748125937,0.4947526236881559,4.5,2,Unhealthy
"THIN CRISPY SAVORY CRACKERS, TRADITIONAL",10.0,13.33,73.33,467.0,3.33,3.3,1133.0,170.0,0.0,0.021413276231263382,0.02854389721627409,0.1570235546038544,0.045411155052502386,0.045002045547524884,2.4261241970021414,2,Moderate
"SPARTAN, CONFETTI CAKE MIX",2.56,7.69,79.49,410.0,46.15,2.6,667.0,56.0,0.0,0.006243902439024391,0.01875609756097561,0.19387804878048778,0.580576173103535,0.03270851679456536,1.6268292682926828,2,Unhealthy
"MINI BEEF RAVIOLI IN TOMATO & MEAT SAUCE, MINI BEEF",2.82,2.59,13.18,87.0,2.59,1.4,327.0,155.0,4.0,0.032413793103448274,0.029770114942528732,0.15149425287356322,0.19650986342943855,0.1062215477996965,3.7586206896551726,2,Unhealthy
"BUTTER POPCORN, BUTTER",10.71,28.57,57.14,536.0,0.0,10.7,607.0,214.0,36.0,0.01998134328358209,0.05330223880597015,0.1066044776119403,0.0,0.18725936296814838,1.132462686567164,2,Healthy
3/5 OZ SWAI FILLETS,18.75,0.89,0.0,89.0,0.0,0.0,98.0,0.0,71.0,0.21067415730337077,0.01,0.0,0.0,0.0,1.101123595505618,1,Healthy
"HOMESTYLE WAFFLES, HOMESTYLE",5.71,8.57,38.57,257.0,2.86,1.4,514.0,71.0,7.0,0.022217898832684824,0.03334630350194553,0.15007782101167316,0.07415089447757324,0.03629764065335753,2.0,2,Moderate
"Potato, baked, peel eaten, with sour cream",2.41,5.59,18.62,132.0,1.35,1.9,187.0,473.0,16.0,0.018257575757575757,0.04234848484848485,0.14106060606060608,0.07250268528464017,0.1020408163265306,1.4166666666666667,0,Healthy
HARD COOKED EGGS,13.64,9.09,0.0,136.0,0.0,0.0,136.0,136.0,375.0,0.10029411764705883,0.06683823529411764,0.0,0.0,0.0,1.0,1,Healthy
"PEACH PASSION FRUIT FLAVORED C-CHARGED FRUIT+YOGURT SMOOTHIE, PEACH PASSION FRUIT",2.42,1.21,14.98,82.0,13.04,0.0,41.0,135.0,5.0,0.029512195121951218,0.014756097560975609,0.1826829268292683,0.870493991989319,0.0,0.5,2,Unhealthy
ALOE SMOOTHIE GUANABANA,2.42,1.45,9.18,58.0,5.31,0.0,12.0,1.0,5.0,0.04172413793103448,0.024999999999999998,0.15827586206896552,0.5784313725490196,0.0,0.20689655172413793,1,Moderate
BANQUET Basic Chicken Finger With Mac And Cheese Meal,8.7,6.52,17.93,168.0,2.17,2.2,397.0,223.0,14.0,0.05178571428571428,0.03880952380952381,0.10672619047619047,0.12102621305075292,0.1226993865030675,2.363095238095238,2,Moderate
CUT GREEN BEANS,1.18,0.0,5.88,29.0,1.18,3.5,0.0,159.0,0.0,0.04068965517241379,0.0,0.20275862068965517,0.20068027210884354,0.5952380952380952,0.0,1,Healthy
CRUNCHY CHEESE-LESS PUFFS,14.29,32.14,42.86,500.0,0.0,10.7,607.0,1321.0,0.0,0.028579999999999998,0.06428,0.08572,0.0,0.24965002333177788,1.214,2,Healthy
DARK CHOCOLATE,6.67,30.0,63.33,533.0,53.33,6.7,0.0,233.0,0.0,0.0125140712945591,0.05628517823639775,0.11881801125703564,0.8420969524711827,0.1057950418443076,0.0,2,Moderate
WHOLE STRAWBERRIES,0.71,0.0,9.29,36.0,5.0,2.1,0.0,148.0,0.0,0.01972222222222222,0.0,0.25805555555555554,0.5382131324004307,0.22604951560818087,0.0,1,Healthy
MINI POTATO HASH BROWNS,1.18,11.76,21.18,188.0,1.18,2.4,518.0,318.0,0.0,0.006276595744680851,0.0625531914893617,0.11265957446808511,0.05571293673276676,0.11331444759206799,2.75531914893617,2,Moderate
LARGE ENRICHED ELBOW MACARONI PRODUCT,12.5,1.79,75.0,357.0,3.57,3.6,0.0,196.0,0.0,0.0350140056022409,0.005014005602240896,0.21008403361344538,0.047599999999999996,0.048,0.0,1,Healthy
"Coffee, Iced Latte, decaffeinated",1.75,1.01,2.82,27.0,2.53,0.0,23.0,102.0,4.0,0.06481481481481481,0.03740740740740741,0.10444444444444444,0.8971631205673759,0.0,0.8518518518518519,0,Unhealthy
